,Codigo,Nome,Nivel,Indice de equipamentos de tecnologia disponíveis nas escolas públicas municipais,Taxa de analfabetismo,Índice de desenvolvimento da educação básica (IDEB) - anos finais,Vagas no ensino superior,Centros de educação tecnológica,Ações de educação para comunidades específicas,Taxas de distorção idade-série,Percentual de escolas municipais com acesso à internet,Computadores para uso dos alunos,Estrutura de equipamentos culturais e esportivos,Proteção do patrimônio cultural material e imaterial,Serviços on-line para promoção de cultura,Serviços culturais on-line oferecidos para a população,Serviços de telemedicina ou telessaúde,Leitos hospitalares na rede pública municipal,Médicos disponíveis na rede pública municipal,Prontuário eletrônico,Serviços on-line de saúde oferecidos aos pacientes,Índice de risco e proteção à saúde dos nascidos vivos,Mortalidade materna,Soluções em monitoramento para a segurança pública,Taxa de homicídios,Políticas públicas e ações para segurança pública,Soluções de tecnologia para gestão e monitoramento de desastres naturais,Vulnerabilidade a riscos e desastres naturais,Promoção de inclusão digital,Cursos de capacitação tecnológica,Políticas públicas para mulheres,Inclusão social para grupos específicos,Formas presenciais para participação pública,Formas on-line para participação pública
Valor,5200050,Abadia de Goiás,3,44.89795918367347,8.2,,,,0,10.1,100.0,1913.5598812273176,6,0,,,,,230,,,0.24882629107981222,,,109.19,3,0,0,0,0,0,1,1,0
Valor,3100104,Abadia dos Dourados,3,7.142857142857143,7.9,,,,1,1.5,50.0,0.0,10,7,,,,191,159,,,0.14893617021276595,,,0.0,0,1,0,0,0,0,0,1,0
Valor,5200100,Abadiânia,3,20.408163265306122,11.6,,,,2,9.1,100.0,827.129859387924,8,2,,,,52,110,,,0.24175824175824176,,,4.79,3,1,0,0,0,5,1,6,3
Valor,3100203,Abaeté,4,33.333333333333336,8.0,5.1,352.8114663726571,,1,7.5,83.33333333333333,3917.301414581066,13,5,,,,181,264,,,0.14,,,4.29,3,0,1,3,1,0,1,2,0
Valor,1500107,Abaetetuba,3,11.834319526627219,13.0,,2187.903001491896,,2,16.7,73.37278106508876,325.5005127747804,16,7,,,,143,124,,,0.2666184971098266,122.34910277324633,,34.9,3,1,0,0,0,0,4,3,1
Valor,2300101,Abaiara,3,13.333333333333334,28.4,4.6,,,1,3.1,53.333333333333336,1322.9104028863499,7,7,,,,,179,,,0.20408163265306123,,,8.35,3,0,2,3,1,6,0,2,0
Valor,2900108,Abaíra,3,57.142857142857146,20.1,,,,1,16.1,100.0,2251.7911975435004,6,0,,,,123,82,,,0.1836734693877551,,,0.0,0,1,3,3,2,8,1,2,0
Valor,2900207,Abaré,3,22.61904761904762,28.0,4.7,,,4,11.5,79.16666666666667,466.442083441306,6,2,,,,142,73,,,0.10932475884244373,,,24.27,0,1,1,3,2,0,2,2,0
Valor,4100103,Abatiá,3,35.714285714285715,16.4,,,,1,13.4,100.0,2069.8576972833116,5,0,,,,,82,,,0.08227848101265822,,,13.58,3,1,3,0,0,0,3,3,0
Valor,4200051,Abdon Batista,3,42.857142857142854,10.8,,,,1,1.7,100.0,2492.2118380062307,15,2,,,,,230,,,0.14285714285714285,,,0.0,0,2,5,0,0,0,1,2,0
Valor,4200101,Abelardo Luz,4,57.142857142857146,11.4,5.8,799.2180312787489,,1,5.9,100.0,3997.219325686479,6,2,,,,218,252,,,0.15372168284789645,,,11.1,3,3,1,1,2,0,5,2,0
Valor,1500131,Abel Figueiredo,3,8.928571428571429,17.0,4.2,,,1,21.4,87.5,1078.894133513149,4,0,,,,299,99,,,0.22727272727272727,970.8737864077669,,119.42,0,1,4,0,0,4,2,4,1
Valor,3100302,Abre Campo,3,2.857142857142857,12.0,,,,1,10.0,90.0,0.0,13,7,,,,424,323,,,0.13662790697674418,,,14.88,3,2,4,0,0,0,0,2,1
Valor,2600054,Abreu e Lima,3,25.974025974025974,9.9,,,,1,15.2,93.93939393939394,360.00654557355585,14,2,,,,24,100,,,0.2093479968578162,87.56567425569177,,33.76,4,3,4,2,2,8,7,2,0
Valor,1700251,Abreulândia,2,39.285714285714285,12.9,,,,0,8.1,100.0,879.1208791208791,3,0,,,,,38,,,0.26666666666666666,,,114.98,3,1,1,0,0,0,2,2,0
Valor,3100401,Acaiaca,3,66.66666666666667,14.3,,,,1,0.9,100.0,5384.615384615385,8,5,,,,,281,,,0.21739130434782608,,,0.0,3,3,5,0,0,0,1,1,0
Valor,2100055,Açailândia,3,34.48979591836735,17.0,4.3,1516.6588456123886,,1,13.2,88.57142857142857,685.0792965799978,9,2,,,,157,125,,,0.2544987146529563,117.6470588235294,,39.54,4,3,5,4,2,5,8,3,1
Valor,2900306,Acajutiba,3,35.23809523809524,21.3,3.4,,,0,24.3,100.0,696.2864721485411,9,0,,,,58,79,,,0.17151162790697674,641.025641025641,,78.87,0,0,1,3,1,0,0,2,0
Valor,1500206,Acará,3,9.197651663405088,20.6,4.3,,,1,32.4,52.054794520547944,234.2054152861876,8,0,,,,56,45,,,0.36444212721584984,,,39.46,3,0,0,5,2,0,3,1,0
Valor,2300150,Acarape,3,32.857142857142854,21.5,5.4,,,1,3.4,100.0,1013.1712259371834,4,4,,,,,106,,,0.21428571428571427,,,13.21,3,0,0,0,0,0,0,2,0
Valor,2300200,Acaraú,3,27.551020408163264,28.3,5.2,229.8357440549154,,0,3.2,100.0,328.94736842105266,9,7,,,,107,148,,,0.1154639175257732,,,28.32,3,2,3,3,2,0,6,3,0
Valor,2400109,Acari,4,51.02040816326531,17.5,5.2,,,0,3.6,85.71428571428571,4022.082018927445,14,0,,,,349,84,,,0.06611570247933884,,,0.0,3,1,1,5,3,0,4,2,1
Valor,2200053,Acauã,3,18.367346938775512,28.0,5.1,,,1,10.2,100.0,0.0,4,0,,,,,93,,,0.13953488372093023,1063.8297872340424,,14.04,0,1,1,2,1,0,0,1,0
Valor,4300034,Aceguá,3,52.38095238095238,6.2,4.7,,,0,13.7,100.0,3856.749311294766,2,2,,,,815,167,,,0.08181818181818182,,,20.07,3,1,2,3,1,0,3,2,0
Valor,2300309,Acopiara,3,36.933797909407666,32.9,5.1,155.6870245985499,,0,2.5,100.0,1288.366805608185,8,2,,,,209,106,,,0.1693840579710145,,,16.45,3,1,1,0,0,0,2,3,0
Valor,5100102,Acorizal,3,17.857142857142858,24.3,,,,1,1.5,100.0,686.4988558352403,6,0,,,,,79,,,0.13636363636363635,,,18.83,0,0,0,2,1,0,4,2,1
Valor,1200013,Acrelândia,3,23.80952380952381,15.9,,,,1,14.7,83.33333333333333,286.80688336520075,6,0,,,,50,85,,,0.29282868525896416,,,6.36,4,0,0,0,0,10,5,3,0
Valor,5200134,Acreúna,3,42.857142857142854,14.2,4.2,,,0,7.6,100.0,6222.222222222223,7,0,,,,176,194,,,0.20502092050209206,,,4.4,3,0,0,0,0,5,4,2,0
Valor,2400208,Açu,4,33.333333333333336,21.3,,2173.6052109883885,,1,18.5,100.0,1892.5831202046036,15,7,,,,103,207,,,0.17288378766140602,167.22408026755852,,62.98,3,3,3,5,3,4,0,2,0
