Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
RO-ALTA FLORESTA D OESTE;10;133;103;129;156;183;1711;118;704;4;0;3251
RO-ARIQUEMES;83;441;347;767;795;1587;13397;798;3024;91;16;21346
RO-CABIXI;3;9;45;46;56;48;503;18;159;0;1;888
RO-CACOAL;50;501;282;681;1091;1367;11631;1088;3064;127;23;19905
RO-CEREJEIRAS;6;73;100;153;170;218;1627;106;455;27;0;2935
RO-COLORADO DO OESTE;8;77;50;165;200;152;1587;90;403;0;0;2732
RO-CORUMBIARA;21;131;94;181;212;150;652;27;218;0;0;1686
RO-COSTA MARQUES;3;45;47;68;85;76;502;16;253;26;3;1124
RO-ESPIGAO D OESTE;17;285;190;506;346;572;2911;144;683;3;0;5657
RO-GUAJARA-MIRIM;9;103;54;135;258;313;2878;130;768;7;0;4655
RO-JARU;8;319;254;831;506;1389;5919;390;1676;15;2;11309
RO-JI-PARANA;116;1054;490;1413;1544;2789;18579;1659;4351;99;33;32127
RO-MACHADINHO D OESTE;8;92;98;173;195;318;1873;118;814;2;0;3691
RO-NOVA BRASILANDIA D OESTE;1;44;36;124;144;156;1142;66;337;1;0;2051
RO-OURO PRETO DO OESTE;21;258;208;377;391;808;3164;267;904;1;0;6399
RO-PIMENTA BUENO;114;483;314;611;611;1155;5757;337;1286;15;4;10687
RO-PORTO VELHO;409;2159;1460;3585;8344;6892;98507;4424;45173;1068;453;172474
RO-PRESIDENTE MEDICI;15;58;67;124;398;215;1615;135;380;0;0;3007
RO-RIO CRESPO;12;27;51;50;99;47;417;10;139;0;0;852
RO-ROLIM DE MOURA;33;359;209;760;544;1204;7492;577;1956;21;7;13162
RO-SANTA LUZIA D OESTE;10;68;47;63;79;56;535;20;181;7;6;1072
RO-VILHENA;54;569;460;1625;1644;2545;16128;1256;3582;68;17;27948
RO-SAO MIGUEL DO GUAPORE;21;139;121;170;302;468;1996;94;532;0;0;3843
RO-NOVA MAMORE;5;39;83;126;226;127;1204;47;494;3;0;2354
RO-ALVORADA D OESTE;4;52;37;52;157;104;709;44;331;12;12;1514
RO-ALTO ALEGRE DOS PARECIS;3;23;42;35;48;27;730;24;298;1;9;1240
RO-ALTO PARAISO;12;44;39;76;103;120;983;36;345;1;0;1759
RO-BURITIS;21;69;42;90;237;207;2710;107;544;0;1;4028
RO-NOVO HORIZONTE DO OESTE;2;35;28;32;56;76;659;44;238;1;0;1171
RO-CACAULANDIA;1;18;26;27;40;38;308;14;152;1;0;625
RO-CAMPO NOVO DE RONDONIA;6;37;25;36;59;68;532;17;261;0;0;1041
RO-CANDEIAS DO JAMARI;12;52;49;153;197;194;1670;52;549;51;0;2979
RO-CASTANHEIRAS;0;34;40;37;45;36;280;8;111;0;0;591
RO-CHUPINGUAIA;12;196;95;290;257;432;1703;40;298;2;0;3325
RO-CUJUBIM;8;69;53;130;208;159;1015;84;215;1;0;1942
RO-GOVERNADOR JORGE TEIXEIRA;4;15;36;32;66;29;477;15;186;0;16;876
RO-ITAPUA DO OESTE;8;51;49;130;89;136;857;36;185;1;0;1542
RO-MINISTRO ANDREAZZA;4;30;52;66;60;49;492;35;220;1;0;1009
RO-MIRANTE DA SERRA;3;52;47;99;106;145;755;38;236;0;0;1481
RO-MONTE NEGRO;7;38;39;60;81;87;823;31;287;25;42;1520
RO-NOVA UNIAO;0;29;36;65;58;62;335;16;130;3;1;735
RO-PARECIS;5;58;47;91;102;52;311;14;117;4;0;801
RO-PIMENTEIRAS DO OESTE;4;34;16;71;43;44;280;7;29;2;0;530
RO-PRIMAVERA DE RONDONIA;1;11;20;28;43;22;216;17;75;1;36;470
RO-SAO FELIPE D OESTE;4;17;33;44;47;44;391;12;131;0;0;723
RO-SAO FRANCISCO DO GUAPORE;9;54;60;93;126;137;1052;35;241;44;111;1962
RO-SERINGUEIRAS;3;28;27;72;96;87;727;49;261;0;0;1350
RO-TEIXEIROPOLIS;1;23;29;27;42;22;203;17;125;0;0;489
RO-THEOBROMA;2;31;59;44;86;60;424;22;251;0;1;980
RO-URUPA;6;67;67;97;119;113;922;35;244;0;0;1670
RO-VALE DO ANARI;1;21;14;43;56;67;401;13;192;2;3;813
RO-VALE DO PARAISO;0;32;21;42;52;78;331;17;216;0;0;789
AC-ACRELANDIA;6;32;33;26;60;39;570;25;215;0;0;1006
AC-ASSIS BRASIL;2;18;4;4;26;15;325;4;147;0;5;550
AC-BRASILEIA;10;85;26;120;159;176;1698;74;581;0;2;2931
AC-BUJARI;19;63;64;26;116;34;1192;25;365;0;0;1904
AC-CAPIXABA;2;26;24;14;65;33;421;12;181;1;0;779
AC-CRUZEIRO DO SUL;58;116;97;181;593;386;7889;275;2922;16;7;12540
AC-EPITACIOLANDIA;5;28;15;59;180;77;1431;39;320;1;0;2155
AC-FEIJO;14;77;87;50;263;213;1209;36;337;3;0;2289
AC-JORDAO;0;19;13;17;112;6;350;4;171;0;0;692
AC-MANCIO LIMA;1;8;8;6;58;12;519;11;263;35;0;921
AC-MANOEL URBANO;8;8;3;8;13;19;307;3;170;1;0;540
AC-MARECHAL THAUMATURGO;2;40;45;34;98;39;304;4;355;0;0;921
AC-PLACIDO DE CASTRO;16;76;53;66;177;63;1487;83;509;1;0;2531
AC-PORTO WALTER;3;34;42;25;131;42;572;19;262;1;0;1131
AC-RIO BRANCO;237;1659;893;2094;4168;2902;56819;3556;36899;1542;384;111153
AC-RODRIGUES ALVES;2;33;12;44;73;43;968;60;461;0;0;1696
AC-SANTA ROSA DO PURUS;4;33;16;7;85;19;260;31;148;0;9;612
AC-SENADOR GUIOMARD;43;77;44;69;284;84;1941;51;485;3;0;3081
AC-SENA MADUREIRA;19;79;54;53;167;68;2214;33;664;1;0;3352
AC-TARAUACA;22;45;37;34;94;21;1318;23;716;2;0;2312
AC-XAPURI;11;45;41;44;78;53;577;22;229;0;0;1100
AC-PORTO ACRE;14;38;26;35;125;106;700;41;277;3;0;1365
AM-ALVARAES;1;3;31;12;109;60;340;24;209;0;0;789
AM-AMATURA;2;5;4;16;19;35;507;9;343;1;1;942
AM-ANAMA;0;6;5;8;16;6;307;3;147;0;0;498
AM-ANORI;1;0;2;1;12;2;590;12;404;1;0;1025
AM-APUI;0;9;9;25;46;39;630;22;296;0;0;1076
AM-ATALAIA DO NORTE;18;82;48;73;88;217;602;17;489;1;0;1635
AM-AUTAZES;2;2;2;14;43;24;1481;14;441;0;0;2023
AM-BARCELOS;1;57;33;72;43;58;432;16;128;0;1;841
AM-BARREIRINHA;0;7;26;16;25;26;378;16;308;0;1;803
AM-BENJAMIN CONSTANT;1;10;11;37;242;120;1205;112;1028;0;0;2766
AM-BERURI;7;2;3;23;110;100;915;10;128;0;0;1298
AM-BOA VISTA DO RAMOS;1;16;25;20;71;29;1052;15;710;0;0;1939
AM-BOCA DO ACRE;39;152;73;105;306;199;2090;36;692;14;0;3706
AM-BORBA;1;18;13;6;66;58;2548;9;326;0;0;3045
AM-CAAPIRANGA;8;84;48;60;47;39;598;7;300;0;1;1192
AM-CANUTAMA;7;126;10;11;88;9;229;4;80;0;0;564
AM-CARAUARI;12;67;43;60;63;30;628;4;309;1;0;1217
AM-CAREIRO;1;38;31;101;121;41;622;6;438;1;0;1400
AM-CAREIRO DA VARZEA;2;1;4;24;57;19;777;6;415;0;0;1305
AM-COARI;5;153;391;240;609;364;4537;194;2280;12;0;8785
AM-CODAJAS;0;1;1;10;32;46;874;8;512;0;0;1484
AM-EIRUNEPE;21;56;44;63;78;104;829;16;520;1;0;1732
AM-ENVIRA;3;40;87;47;42;34;918;22;427;0;0;1620
AM-FONTE BOA;12;58;27;42;15;195;931;4;957;0;0;2241
AM-GUAJARA;2;5;5;3;11;7;655;4;75;0;0;767
AM-HUMAITA;3;12;17;34;134;102;2855;70;745;5;0;3977
AM-IPIXUNA;2;1;2;3;2;4;36;2;6;0;0;58
AM-IRANDUBA;29;92;69;222;371;240;3186;76;1119;3;0;5407
AM-ITACOATIARA;13;131;112;369;783;466;6761;163;2933;17;3;11751
AM-ITAMARATI;40;103;31;59;97;69;432;27;289;1;0;1148
AM-ITAPIRANGA;0;3;2;17;45;10;401;3;234;2;1;718
AM-JAPURA;3;3;1;3;28;5;982;10;224;0;0;1259
AM-JURUA;2;128;4;71;50;26;422;45;227;0;0;975
AM-JUTAI;3;32;56;37;43;21;437;19;133;0;0;781
AM-LABREA;17;142;64;66;95;48;1112;291;501;3;0;2339
AM-MANACAPURU;8;116;107;216;600;320;5800;467;1904;13;4;9555
AM-MANAQUIRI;0;8;2;17;33;25;752;27;308;0;1;1173
AM-MANAUS;744;5052;3488;10971;25442;19518;357040;20381;126816;3136;10168;582757
AM-MANICORE;2;16;12;46;217;74;2527;46;419;1;0;3360
AM-MARAA;0;14;26;82;60;64;282;12;159;0;0;699
AM-MAUES;5;22;11;23;119;83;1994;27;1447;3;2;3736
AM-NHAMUNDA;1;0;1;13;33;11;245;6;257;8;0;575
AM-NOVA OLINDA DO NORTE;0;10;1;8;5;24;1582;9;60;0;0;1699
AM-NOVO AIRAO;4;24;15;37;88;119;817;40;292;0;1;1437
AM-NOVO ARIPUANA;1;9;61;37;97;17;520;10;195;0;0;947
AM-PARINTINS;4;53;33;82;289;203;5323;107;1789;10;4;7897
AM-PAUINI;0;0;0;8;2;2;27;2;6;0;0;47
AM-PRESIDENTE FIGUEIREDO;6;68;97;271;332;282;3282;123;893;156;2;5512
AM-RIO PRETO DA EVA;2;37;40;121;169;122;1176;48;381;2;0;2098
