NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
RO-ALTA FLORESTA D OESTE;8303.5964285706;1460.8344000001;1139.9016666665;1156.502;1187.3099999996;0;1435.4126229509;0;0;268.4559999999;463.9383333332;0;1927.7189763778;9910.0936170211;2033.1669090909;2027.2913636364;2065.216111111;11756.2275714275;2691.2837575757;1906.9730681817;1404.8679012345;1472.9316176471;1449.64375;2839.3208256881;1808.4253225807;1507;2680.3093263611
RO-ARIQUEMES;4025.9583370787;1637.4292913385;2174.3203107346;1638.1078125;1578.1528571429;1983.1191803279;1805.70796875;1759.9040625002;1696.3962037036;1795.6730555556;1328.8726190477;0;2163.2569397042;8212.8977192977;2545.6426344085;2262.471224863;4351.6591865081;10175.1286198543;1933.5725613748;2239.6545724465;1447.2789521872;1955.1470110702;2023.7709869204;4343.5770171674;2167.6457878068;0;2725.8491263
RO-CABIXI;0;1210.654090909;1539.1300000008;2000;0;0;1058.9720588237;0;0;0;0;0;1018.3374999999;0;2066.2528571428;1361.0687234041;2677.4980000004;8594.7571428565;1995.9744444444;1760.3517391304;1238.7375000002;616.5957142857;1829.2200000007;2785.7560433605;2371.9360964912;3920;2325.0528378378
RO-CACOAL;2379.2472413793;1615.9217548077;1486.3019402985;1455.25;1348625;2165.4910344829;1600.3824517906;1674.835135135;3297.3411239197;2140.1926486488;1226.4538121547;1146.6404761905;1944.8645919371;4333.6285074627;1831.5430847458;2190.728549744;1941.8466639544;10437.6071884056;1853.386706072;2089.5863157895;1515.6855413534;2192.7538682816;2626.7132988721;4142.5631952118;1590.8519458544;781.2749999999;2449.6715111781
RO-CEREJEIRAS;0;1664.87;1292.1880000001;1214.0230000001;0;1405.8000000008;1864.1670454547;1752.980909091;1402.7200000001;1487.9959999997;1145.5173913043;0;1206.8339830508;0;1998.7674193547;2468.3451652891;5491.3809090906;12750.5470149268;1895.2527976192;1831.2962631578;1470.7566929134;1452.672;1304.3092307692;2924.5605813953;2615.2079591837;55935.6399999857;2879.8170391822
RO-COLORADO DO OESTE;5975.0099999979;1460.2570212767;1159.4775;0;0;0;1735.1708910891;397.4973333335;2438.4525531915;0;1040.749375;0;2192.5813999999;2796.796923077;2769.4550769228;1741.2772163743;2303.4241666665;16547.0210606036;2171.9540336135;1798.5316901406;1335.6809285715;1443.6953846154;1540.0747826091;3211.1674378881;1677.5796585365;12665.2600000054;2509.6764458272
RO-CORUMBIARA;0;1666.182;1865.6033333335;0;0;0;1130.5085714287;0;0;0;0;0;2451.969142857;0;2745.8629999999;1722.7811917098;1180.5600000005;7371.7346153844;1585.8342857143;2789.2798000001;1342.6007692308;1724.6911111108;1220.4700000007;2776.9896955503;3463.4590263461;12744;3140.9504567023
RO-COSTA MARQUES;1676.5899999999;1619.3699999992;1407.0299999993;0;0;0;1501.3020000003;0;0;0;0;0;966.8200000001;0;3946.044285716;1180.333875;1171.9120000001;7062.3339285718;1476.7722222224;2153.037631579;1389.287368421;1663.8283333335;0;2511.9429326048;1824.8548571429;5565.8699999973;2137.6793505339
RO-ESPIGAO D OESTE;1267.5450000003;1374.1761111111;1429.7545;1600.6270000004;0;2203.6000000015;1879.5012621358;2121.6499999998;1143.9840000002;1212;1088.9592857141;1142.2200000007;1943.3296854664;0;2290.9965891473;1777.166872285;2282.3233488372;10720.291232878;2599.3367153288;1839.6192294221;1511.1860000001;1544.335909091;1737.6124999999;3006.4302235773;1933.5164999999;0;2197.8357132756
RO-GUAJARA-MIRIM;0;0;1507.9932727274;819.1981818183;0;2190.2845161289;975.3450000002;1415.1346153847;0;1420.043076923;1376.6322222226;0;1527.163888889;1843.0711111114;2773.50974359;1564.459137359;2266.432051756;15893.227656252;1228.5925;2602.1860869565;1289.4627906977;1669.3591379311;1271.4307142857;3517.7633255994;1528.8351063829;0;2420.533093448
RO-JARU;1735.5451612901;1600.5779629629;4378.4923;2313.1003124997;512.9560000002;845.7266666667;1625.2521568627;1596.0192857141;1892.6744444445;0;1318.9258064517;0;2290.0394678899;2141.6549999998;1704.4763181818;2795.401688058;1864.1935545024;11272.6991573035;2078.1585981309;2952.5943365696;1609.9457374101;1730.6375113122;2108.3113333332;3342.1915100488;1794.7297894737;0;2710.7713051552
