,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,5200050,Abadia de Goiás,2,,,,,,,14,7,,0,,5,9,
Valor,3100104,Abadia dos Dourados,2,,,,,,,7,3,,0,,4,9,
Valor,5200100,Abadiânia,3,,,,,,,17,8,,1,,5,8,
Valor,3100203,Abaeté,2,,,,,,,11,4,,0,,4,9,
Valor,1500107,Abaetetuba,2,,,,,,,9,6,,0,,5,9,
Valor,2300101,Abaiara,2,,,,,,,8,5,,1,,5,8,
Valor,2900108,Abaíra,2,,,,,,,6,4,,0,,5,8,
Valor,2900207,Abaré,2,,,,,,,7,5,,0,,5,8,
Valor,4100103,Abatiá,2,,,,,,,8,1,,0,,4,8,
Valor,4200051,Abdon Batista,3,,,,,,,12,6,,1,,4,8,
Valor,4200101,Abelardo Luz,2,,,,,,,14,5,,0,,4,8,
Valor,1500131,Abel Figueiredo,2,,,,,,,5,5,,0,,5,9,
Valor,3100302,Abre Campo,2,,,,,,,7,2,,1,,4,8,
Valor,2600054,Abreu e Lima,2,,,,,,,6,3,,0,,5,9,
Valor,1700251,Abreulândia,2,,,,,,,4,3,,0,,4,8,
Valor,3100401,Acaiaca,2,,,,,,,8,5,,0,,5,10,
Valor,2100055,Açailândia,2,,,,,,,16,6,,0,,5,10,
Valor,2900306,Acajutiba,2,,,,,,,7,4,,0,,5,7,
Valor,1500206,Acará,2,,,,,,,8,4,,0,,4,9,
Valor,2300150,Acarape,2,,,,,,,7,2,,0,,5,9,
Valor,2300200,Acaraú,3,,,,,,,13,5,,1,,5,9,
Valor,2400109,Acari,2,,,,,,,7,5,,0,,4,9,
Valor,2200053,Acauã,2,,,,,,,8,2,,0,,4,8,
Valor,4300034,Aceguá,3,,,,,,,12,4,,1,,5,9,
Valor,2300309,Acopiara,2,,,,,,,11,7,,0,,4,7,
Valor,5100102,Acorizal,2,,,,,,,8,2,,0,,5,8,
Valor,1200013,Acrelândia,2,,,,,,,7,4,,0,,5,8,
Valor,5200134,Acreúna,2,,,,,,,9,2,,0,,5,8,
Valor,2400208,Açu,3,,,,,,,12,4,,1,,5,9,
Valor,3100500,Açucena,2,,,,,,,10,3,,0,,5,10,
Valor,3500105,Adamantina,2,,,,,,,14,2,,0,,5,8,
Valor,5200159,Adelândia,2,,,,,,,7,4,,0,,4,8,
Valor,3500204,Adolfo,2,,,,,,,6,4,,0,,5,8,
Valor,4100202,Adrianópolis,2,,,,,,,8,4,,1,,4,8,
Valor,2900355,Adustina,2,,,,,,,5,3,,0,,5,8,
Valor,2600104,Afogados da Ingazeira,3,,,,,,,10,8,,1,,4,8,
Valor,2400307,Afonso Bezerra,2,,,,,,,10,3,,0,,5,8,
Valor,3200102,Afonso Cláudio,2,,,,,,,5,5,,0,,5,9,
Valor,2100105,Afonso Cunha,2,,,,,,,1,0,,0,,4,8,
Valor,2600203,Afrânio,3,,,,,,,15,2,,1,,5,8,
Valor,1500305,Afuá,2,,,,,,,8,7,,0,,5,9,
Valor,2600302,Agrestina,3,,,,,,,10,7,,1,,4,10,
Valor,2200103,Agricolândia,2,,,,,,,7,3,,1,,5,8,
Valor,4200200,Agrolândia,2,,,,,,,13,7,,0,,5,9,
Valor,4200309,Agronômica,2,,,,,,,10,5,,0,,5,9,
Valor,1500347,Água Azul do Norte,2,,,,,,,6,4,,0,,5,9,
Valor,3100609,Água Boa,2,,,,,,,7,5,,0,,4,8,
Valor,5100201,Água Boa,2,,,,,,,8,5,,0,,5,9,
Valor,2700102,Água Branca,2,,,,,,,11,5,,0,,5,8,
Valor,2500106,Água Branca,2,,,,,,,8,6,,0,,4,8,
Valor,2200202,Água Branca,2,,,,,,,7,5,,0,,5,9,
Valor,5000203,Água Clara,2,,,,,,,7,3,,0,,5,9,
Valor,3100708,Água Comprida,2,,,,,,,6,4,,0,,4,8,
Valor,4200408,Água Doce,2,,,,,,,11,4,,0,,5,9,
Valor,2100154,Água Doce do Maranhão,2,,,,,,,8,5,,0,,5,9,
Valor,3200169,Água Doce do Norte,2,,,,,,,7,3,,0,,5,6,
Valor,2900405,Água Fria,2,,,,,,,6,4,,0,,5,5,
Valor,5200175,Água Fria de Goiás,3,,,,,,,13,5,,1,,5,9,
