,Codigo,Nome,Nivel,Índice da população total com atendimento de água,Índice da população total com atendimento de esgoto,Índice da população urbana com atendimento de esgoto,Taxa da população coberta com serviço de coleta de resíduos,Coleta seletiva de resíduos no município,Percentual de domicílios com população vivendo em aglomerados subnormais,Assentamentos urbanos precários ,Programas e ações habitacionais,Serviços regulares de transporte de passageiros,Serviços de compartilhamento de viagens,Serviço de informações de transporte público em tempo real,Serviços e soluções inteligentes para mobilidade urbana,Acessibilidade no transporte público,Ciclomobilidade na cidade,Índice de pavimentação das vias públicas,Escala de acesso a banda larga fixa,Escala de acesso a banda larga móvel,Cobertura de acesso a banda larga móvel por tecnologias 3G e 4G,Cobertura de fibra ótica,Rede de tecnologia interligando os equipamentos e edifícios públicos,Escala de acesso a banda larga fixa de alta velocidade,Números de estações rádio base,Qualificação profissional e intermediação de mão de obra,Inclusão produtiva urbana,"Acesso a crédito, microcrédito e seguro",Geração de trabalho e renda no município,Sistema de informação geográfica da prefeitura,Centros de comando e controle para gestão da cidade,Plataforma integrada de cidade inteligente,Serviços no website da prefeitura,Dados abertos da gestão municipal
Valor,5200050,Abadia de Goiás,4,35.1,17.29,48.72,80.44,False,1.72,2,3,9,,,0,2,0,93.18040917544947,4.54,89.43,3,True,3,4.00982852363028,26,0,0,4,0,6,2,,14,9
Valor,3100104,Abadia dos Dourados,3,62.12,,,93.27,True,,0,3,5,,,0,0,0,98.57433808553972,20.3,89.62,3,True,3,19.005102040816325,47,0,0,0,0,6,0,,7,9
Valor,5200100,Abadiânia,4,89.94,81.91,94.49,58.03,False,,1,3,4,,,0,0,0,85.10704312752094,5.4,104.1,3,True,3,3.7778551532033426,81,0,0,0,0,5,2,,17,8
Valor,3100203,Abaeté,4,86.14,10.68,10.56,86.14,False,,1,2,7,,,0,2,0,88.89768767817549,23.43,98.84,3,True,3,17.18632855567806,39,0,4,0,4,6,2,,11,9
Valor,1500107,Abaetetuba,4,17.79,,,74.04,False,2.58,2,8,10,,,0,1,3,52.73328782229691,10.1,77.29,3,True,3,9.906566869800491,13,6,0,4,4,6,0,,9,9
Valor,2300101,Abaiara,3,36.6,,,41.78,False,,1,4,5,,,0,0,0,94.78330658105939,5.21,53.11,3,True,1,4.73201833034469,59,5,5,4,0,2,0,,8,8
Valor,2900108,Abaíra,4,99.85,99.85,,44.86,False,,2,6,7,,,0,0,0,80.30176026823135,21.3,60.05,3,True,3,20.956033420079443,68,6,0,4,5,6,3,,6,8
Valor,2900207,Abaré,3,60.23,32.3,59.81,,,,0,2,1,,,0,0,0,16.300675675675677,15.78,45.33,3,True,1,15.23895912466693,22,6,0,0,0,6,0,,7,8
Valor,4100103,Abatiá,3,100.0,18.64,24.84,74.58,False,,0,0,6,,,0,1,0,59.294871794871796,11.23,89.38,3,True,3,3.507802789669935,69,0,0,0,0,4,1,,8,8
Valor,4200051,Abdon Batista,4,100.0,27.33,100.0,49.04,True,,1,3,7,,,0,2,2,74.35897435897436,25.67,82.41,3,True,3,17.090069284064665,115,5,0,0,5,7,0,,12,8
Valor,4200101,Abelardo Luz,3,74.29,,,55.96,False,,2,6,7,,,0,0,0,65.76514892160219,13.12,74.27,3,True,3,11.827276908923643,17,5,0,0,0,6,0,,14,8
Valor,1500131,Abel Figueiredo,3,85.78,,,87.04,False,,3,2,5,,,0,0,0,59.42647956070775,1.14,89.17,3,True,3,0.7823613086770982,42,0,0,0,4,5,0,,5,9
Valor,3100302,Abre Campo,4,99.68,99.68,99.13,93.34,True,,1,2,4,,,0,0,0,82.75705186533212,2.41,116.47,3,True,3,2.0463847203274215,57,5,0,0,5,5,0,,7,8
Valor,2600054,Abreu e Lima,4,88.71,23.77,25.46,100.0,False,14.52,2,5,4,,,2,0,2,90.74194598112594,6.16,113.22,3,True,3,5.62348926489407,26,5,7,6,5,6,0,,6,9
Valor,1700251,Abreulândia,3,75.31,,,59.01,False,,0,2,2,,,0,0,0,89.88764044943821,1.44,70.5,3,True,3,0.8928571428571429,116,5,0,0,0,7,0,,4,8
Valor,3100401,Acaiaca,4,100.0,65.31,98.12,100.0,False,,2,4,3,,,0,0,0,97.35576923076923,27.3,97.75,3,True,3,24.686620619084163,153,0,0,0,0,6,1,,8,10
Valor,2100055,Açailândia,4,100.0,1.48,1.85,100.0,False,1.68,1,8,12,,,3,2,0,53.64444228621376,38.39,89.3,3,True,3,34.24401689347724,33,6,0,0,0,5,1,,16,10
