,Codigo,Nome,Nivel,Índice de volume de esgoto coletado,Consumo médio per capita de água,Soluções inteligentes para gestão na distribuição e consumo de água,Índice de perdas na distribuição de água,Índice de volume de esgoto tratado,Percentual de material recolhido pela coleta seletiva,Soluções inteligentes para otimização da coleta de resíduos,Proteção e gestão do meio ambiente e áreas verdes do município,Soluções em monitoramento de gases de efeito estufa e qualidade do ar,Monitoramento da qualidade do ar,Soluções inteligentes para gestão do consumo de energia elétrica,Soluções para telegestão da iluminação pública
Valor,5200050,Abadia de Goiás,4,32.58,158.5,,27.87,100.0,,,6,,,,
Valor,3100104,Abadia dos Dourados,2,,187.1,,26.15,,,,0,,,,
Valor,5200100,Abadiânia,3,80.0,257.2,,37.1,80.27,,,7,,,,
Valor,3100203,Abaeté,2,9.14,164.9,,29.68,0.0,,,1,,,,
Valor,1500107,Abaetetuba,2,,131.9,,31.32,,,,2,,,,
Valor,2300101,Abaiara,2,,99.8,,41.8,,,,4,,,,
Valor,2900108,Abaíra,3,88.89,67.7,,37.93,0.0,,,1,,,,
Valor,2900207,Abaré,4,49.86,95.9,,39.15,100.0,,,5,,,,
Valor,4100103,Abatiá,3,7.97,118.8,,33.18,100.0,,,1,,,,
Valor,4200051,Abdon Batista,3,32.79,143.0,,8.22,100.0,,,3,,,,
Valor,4200101,Abelardo Luz,2,,104.8,,38.07,,,,1,,,,
Valor,1500131,Abel Figueiredo,2,,111.5,,40.9,,,,5,,,,
Valor,3100302,Abre Campo,3,44.97,107.6,,33.21,0.0,,,4,,,,
Valor,2600054,Abreu e Lima,3,32.07,102.0,,54.88,100.0,,,3,,,,
Valor,1700251,Abreulândia,2,,97.1,,73.72,,,,1,,,,
Valor,3100401,Acaiaca,3,100.0,114.1,,89.74,0.0,,,5,,,,
Valor,2100055,Açailândia,3,1.02,116.8,,50.23,100.0,,,2,,,,
Valor,2900306,Acajutiba,2,,98.3,,17.64,,,,3,,,,
Valor,1500206,Acará,2,,38.4,,27.6,,,,0,,,,
Valor,2300150,Acarape,3,21.64,195.6,,54.17,100.0,,,2,,,,
Valor,2300200,Acaraú,3,10.49,132.1,,33.23,100.0,,,6,,,,
Valor,2400109,Acari,3,91.23,96.6,,35.55,91.55,,,0,,,,
Valor,2200053,Acauã,2,,85.5,,45.85,,,,1,,,,
Valor,4300034,Aceguá,2,,205.7,,6.54,,,,2,,,,
Valor,2300309,Acopiara,3,11.32,120.1,,41.54,100.0,,,4,,,,
Valor,5100102,Acorizal,1,,,,,,,,2,,,,
Valor,1200013,Acrelândia,2,,127.8,,70.79,,,,1,,,,
Valor,5200134,Acreúna,3,54.11,124.6,,32.39,100.0,,,2,,,,
Valor,2400208,Açu,2,,102.8,,67.83,,,,0,,,,
Valor,3100500,Açucena,2,31.28,136.6,,26.09,0.0,,,2,,,,
Valor,3500105,Adamantina,3,100.0,188.1,,23.85,100.0,,,1,,,,
Valor,5200159,Adelândia,2,,137.5,,17.2,,,,1,,,,
Valor,3500204,Adolfo,4,100.0,204.1,,9.72,100.0,,,2,,,,
